alt2 min phase gs dist fb fuel lat lon hdg
17901 0.1666667 1 248.5861 0.6900959 4908.277 13.64253 -76.03439 167.2201 5
18001 0.1666667 1 248.8999 0.6909673 4902.003 13.6251 -76.02292 167.2242 5
18101 0.1666667 1 249.2136 0.6918388 4895.728 13.60767 -76.01143 167.2284 5
18201 0.1666667 1 249.5273 0.6927102 4889.454 13.59024 -75.99993 167.2326 5
18301 0.1666667 1 249.841 0.6935817 4883.179 13.57281 -75.98842 167.2367 5
18401 0.1666667 1 250.1548 0.6944532 4876.905 13.55538 -75.97689 167.2409 5
18501 0.1666667 1 250.4685 0.6953246 4870.63 13.53795 -75.96534 167.2451 5
18601 0.1666667 1 250.7822 0.6961961 4864.356 13.52052 -75.95378 167.2492 5
18701 0.1666667 1 251.0959 0.6970675 4858.081 13.50309 -75.94221 167.2534 5
18801 0.1666667 1 251.4097 0.697939 4851.807 13.48566 -75.93062 167.2576 5
18901 0.1666667 1 251.7234 0.6988105 4845.532 13.46824 -75.91902 167.2617 5
19001 0.1666667 1 252.0371 0.6996819 4839.258 13.45081 -75.9074 167.2659 5
19101 0.1666667 1 252.3508 0.7005534 4832.983 13.43338 -75.89577 167.2701 5
19201 0.1666667 1 252.6646 0.7014248 4826.708 13.41595 -75.88412 167.2743 5
19301 0.1666667 1 252.9783 0.7022963 4820.434 13.39852 -75.87246 167.2785 5
19401 0.1666667 1 253.292 0.7031678 4814.159 13.38109 -75.86079 167.2826 5
19501 0.1666667 1 253.6058 0.7040392 4807.885 13.36366 -75.8491 167.2868 5
19601 0.1666667 1 253.9195 0.7049107 4801.61 13.34623 -75.8374 167.291 5
19701 0.1666667 1 254.2332 0.7057821 4795.336 13.3288 -75.82568 167.2952 5
19801 0.1666667 1 254.5469 0.7066536 4789.061 13.31137 -75.81395 167.2994 5
19901 0.1666667 1 254.8607 0.7075251 4782.787 13.29394 -75.8022 167.3036 5
20001 0.1666667 1 255.1744 0.7083965 4776.512 13.27651 -75.79044 167.3078 5
20101 0.1666667 1 255.4881 0.709268 4770.238 13.25908 -75.77866 167.312 5
20201 0.1666667 1 255.8018 0.7101394 4763.963 13.24166 -75.76687 167.3162 5
20301 0.1666667 1 256.1156 0.7110109 4757.689 13.22423 -75.75506 167.3204 5
20401 0.1666667 1 256.4293 0.7118824 4751.414 13.2068 -75.74324 167.3246 5
20501 0.1666667 1 256.743 0.7127538 4745.14 13.18937 -75.73141 167.3288 5
20601 0.1666667 1 257.0567 0.7136253 4738.865 13.17194 -75.71956 167.333 5
20701 0.1666667 1 257.3705 0.7144967 4732.591 13.15451 -75.7077 167.3372 5
20801 0.1666667 1 257.6842 0.7153682 4726.316 13.13708 -75.69582 167.3414 5
20901 0.1666667 1 257.9979 0.7162397 4720.042 13.11965 -75.68393 167.3456 5
21001 0.1666667 1 258.3116 0.7171111 4713.767 13.10222 -75.67202 167.3498 5
21101 0.1666667 1 258.6254 0.7179826 4707.493 13.08479 -75.6601 167.354 5
21201 0.1666667 1 258.9391 0.718854 4701.218 13.06736 -75.64817 167.3582 5
21301 0.1666667 1 259.2528 0.7197255 4694.944 13.04993 -75.63622 167.3624 5
21401 0.1666667 1 259.5665 0.7205969 4688.669 13.03251 -75.62425 167.3667 5
21501 0.1666667 1 259.8803 0.7214684 4682.395 13.01508 -75.61227 167.3709 5
21601 0.1666667 1 260.194 0.7223399 4676.12 12.99765 -75.60028 167.3751 5
21701 0.1666667 1 260.5077 0.7232113 4669.846 12.98022 -75.58827 167.3793 5
21801 0.1666667 1 260.8214 0.7240828 4663.571 12.96279 -75.57625 167.3836 5
21901 0.1666667 1 261.1352 0.7249542 4657.297 12.94536 -75.56422 167.3878 5
22001 0.1666667 1 261.4489 0.7258257 4651.022 12.92793 -75.55216 167.392 5
22101 0.1666667 1 261.7626 0.7266972 4644.748 12.9105 -75.5401 167.3962 5
22201 0.1666667 1 262.0763 0.7275686 4638.473 12.89307 -75.52802 167.4005 5
22301 0.1666667 1 262.3901 0.7284401 4632.199 12.87564 -75.51592 167.4047 5
22401 0.1666667 1 262.7038 0.7293115 4625.924 12.85821 -75.50382 167.4089 5
22501 0.1666667 1 263.0175 0.730183 4619.65 12.84078 -75.49169 167.4132 5
22601 0.1666667 1 263.3312 0.7310545 4613.375 12.82336 -75.47955 167.4174 5
22701 0.1666667 1 263.645 0.7319259 4607.101 12.80593 -75.4674 167.4216 5
22801 0.1666667 1 263.9587 0.7327974 4600.826 12.7885 -75.45523 167.4259 5
22901 0.1666667 1 264.2724 0.7336688 4594.552 12.77107 -75.44305 167.4301 5
23001 0.1666667 1 264.5861 0.7345403 4588.277 12.75364 -75.43086 167.4344 5
23101 0.1666667 1 264.8999 0.7354118 4582.003 12.73621 -75.41865 167.4386 5
23201 0.1666667 1 265.2136 0.7362832 4575.728 12.71878 -75.40642 167.4429 5
23301 0.1666667 1 265.5273 0.7371547 4569.454 12.70135 -75.39418 167.4471 5
